City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
559,puerto armuelles,8.2833,-82.8667,31.99,71,95,1.34,PA,1712695062
560,sucre,-19.0333,-65.2627,20.75,53,40,5.66,BO,1712695140
561,shubarshi,48.5872,57.1869,13.43,56,100,6.7,KZ,1712695140
562,i-n-salah,27.1935,2.4607,32.99,8,1,3.39,DZ,1712695140
563,tank,32.2217,70.3793,26.37,26,92,2.03,PK,1712695140
564,berdigestyakh,62.0989,126.6992,-19.17,100,100,0.74,RU,1712695141
565,vilyuysk,63.7553,121.6247,-11.67,97,58,2.68,RU,1712695141
566,pitimbu,-7.4706,-34.8086,28.33,85,100,6.32,BR,1712695141
567,aroma,15.8167,36.1333,29.64,7,22,4.95,SD,1712695141
568,pierre,44.3683,-100.351,17.7,34,20,7.2,US,1712695018
569,mocimboa,-11.3167,40.35,25.38,89,89,0.95,MZ,1712695142
570,luanda,-8.8368,13.2343,27.0,87,40,2.57,AO,1712695142
571,natal,-5.795,-35.2094,28.36,89,75,3.09,BR,1712695075
572,maintirano,-18.0667,44.0167,27.53,76,38,1.04,MG,1712695143
573,barcelona,41.3888,2.159,14.25,79,20,2.06,ES,1712695143
